Formation,Xstart,Ystart,Xend,Yend,seg_length,rho,theta,HashID,Xmid,Ymid,yc,xc,PerpOffsetDist,PerpIntX,PerpIntY,Date_Changed,ScaledRho,Labels
Tsd,-11700921.8950314,4531627.13296064,-11700138.5903616,4529988.44036923,1816.28181042255,-2878.9476200441,25.5480731465541,-4.95480459578615E+018,-11700530.2426965,4530807.78666494,4503174.61359003,-11684130.4775134,12545162.5393407,-2597.45492629498,-1241.59868911962,"14 Jul, 2022",-1497.82806688288,115
Tsd,-11701085.2837355,4531963.52146914,-11700993.9782832,4531790.52166477,195.615996104218,-1557.10121101409,27.824096382645,-7.31322088867569E+018,-11701039.6310093,4531877.02156696,4503174.61359003,-11684130.4775134,12546975.7792116,-1377.07656968082,-726.790411726565,"14 Jul, 2022",-175.981657852878,114
Tsd,-11700859.4228798,4530593.93968453,-11700566.2843224,4530017.27366996,646.895591416967,-2487.80881725665,26.9457484280495,2.53285300686894E+018,-11700712.8536011,4530305.60667725,4503174.61359003,-11684130.4775134,12545464.2363875,-2217.72232597317,-1127.34218234752,"14 Jul, 2022",-1106.68926409543,114
Tsd,-11699403.341193,4530468.99538138,-11699398.5356429,4529877.91271644,591.102199374133,-15050.4607414548,0.465809080711523,-8.72396944785428E+018,-11699400.9384179,4530173.45404891,4503174.61359003,-11684130.4775134,12531864.8990386,-15049.9633617687,-122.357425166013,"14 Jul, 2022",-13669.3411882936,67
Tsd,-11700551.867672,4529632.82966025,-11700354.8401171,4529301.24670187,385.703403767106,-601.642370587209,30.7189042538353,-4.90459390901958E+017,-11700453.3538946,4529467.03818106,4503174.61359003,-11684130.4775134,12546209.043265,-517.222184656625,-307.334921193191,"14 Jul, 2022",779.477182574007,112
Tsd,-11699840.6462541,4529599.1908094,-11699739.7297015,4529325.27445247,291.914921136525,-5606.41074788548,20.2248594397353,-2.4308274383089E+018,-11699790.1879778,4529462.23263093,4503174.61359003,-11684130.4775134,12541754.6083551,-5260.736935038,-1938.16624011792,"14 Jul, 2022",-4225.29119472426,98
Tsd,-11701719.6163515,4529012.91369458,-11700955.5338822,4527585.66530852,1618.90703111738,-3311.78861382956,28.1625273741566,6.63475764075266E+018,-11701337.5751169,4528299.28950155,4503174.61359003,-11684130.4775134,12544824.9704533,-2919.71364828612,-1563.07902381899,"14 Jul, 2022",-1930.66906066835,116
Tsd,-11701142.950337,4528633.27523499,-11701008.3949336,4528364.16442819,300.875028741949,-3830.95866869004,26.5650511771573,-4.5972143742325E+018,-11701075.6726353,4528498.71983159,4503174.61359003,-11684130.4775134,12544234.3887971,-3426.51360087084,-1713.25680044135,"14 Jul, 2022",-2449.83911552883,116
Tsd,-11701080.4781854,4528897.58049167,-11701027.6171341,4528710.16403693,194.728575849074,-9330.76182009646,15.7511736530861,-3.33138066224099E+018,-11701054.0476598,4528803.8722643,4503174.61359003,-11684130.4775134,12539441.760445,-8980.38869091645,-2532.93014183767,"14 Jul, 2022",-7949.64226693524,92
Tsd,-11700338.0206916,4527244.4712499,-11700128.9792614,4526614.94418399,663.326952755912,-7796.29051884735,18.3693179404229,-7.18345750742032E+017,-11700233.4999765,4526929.70771695,4503174.61359003,-11684130.4775134,12539446.6089374,-7399.02980712106,-2456.92974413254,"14 Jul, 2022",-6415.17096568613,96
Tsd,-11700299.5762907,4527674.56798576,-11700289.9651904,4527511.17928163,163.671139442538,-14702.5100778818,3.36646068376162,-8.96573868840592E+018,-11700294.7707406,4527592.87363369,4503174.61359003,-11684130.4775134,12532381.0708351,-14677.1390317901,-863.361124743376,"14 Jul, 2022",-13321.3905247206,65
Tsd,-11701438.4916694,4527556.83200779,-11701272.7001903,4527398.24885378,229.424129676161,5655.92024909275,46.2730300037898,7.91988714490607E+018,-11701355.5959299,4527477.54043079,4503174.61359003,-11684130.4775134,12548876.0890784,3909.50016111869,4087.20471157372,"14 Jul, 2022",7037.03980225397,132
Tsd,-11700869.0339801,4527722.62348698,-11700784.9368529,4527451.10990512,284.239251226032,-8726.19914369171,17.2095575348798,1.00223564914133E+018,-11700826.9854165,4527586.86669605,4503174.61359003,-11684130.4775134,12539409.2695347,-8335.51867065065,-2581.79782062818,"14 Jul, 2022",-7345.07959053049,93
Tsd,-11701150.1586622,4527674.56798576,-11700150.6042369,4526249.72237476,1740.4867320156,137.09949405001,35.0503397923238,-5.97646029249736E+018,-11700650.3814496,4526962.14518026,4503174.61359003,-11684130.4775134,12545936.3635296,112.236197366075,78.7356797746254,"14 Jul, 2022",1518.21904721123,111
Tsd,-11701616.2970239,4527448.70713005,-11700744.0896769,4526559.68035759,1245.43737631059,4517.83538148442,44.4528536620076,-5.12735897223944E+018,-11701180.1933504,4527004.19374382,4503174.61359003,-11684130.4775134,12548236.1494871,3224.95268257062,3163.94006412463,"14 Jul, 2022",5898.95493464563,132
Tsd,-11701320.7556915,4526747.09681232,-11700789.7424031,4526216.08352391,750.966194263711,4512.90046540475,44.9999999994976,3.85000703597071E+018,-11701055.2490473,4526481.59016812,4503174.61359003,-11684130.4775134,12547889.8422744,3191.10252193561,3191.10252187964,"14 Jul, 2022",5894.02001856596,132
Tsd,-11700852.2145546,4526557.27758253,-11700381.2706427,4526093.54199581,660.937865874346,4928.54000615748,45.4418610049999,-8.99924486235357E+018,-11700616.7425986,4526325.40978917,4503174.61359003,-11684130.4775134,12547557.9026153,3458.02458813325,3511.77626567534,"14 Jul, 2022",6309.6595593187,132
Tsd,-11701111.7142612,4526660.59691014,-11700902.6728309,4526451.55547986,295.629225813786,4599.55041257024,45.0000000028079,4.96858576243627E+018,-11701007.1935461,4526556.076195,4503174.61359003,-11684130.4775134,12547906.9328929,3252.37328697841,3252.37328729719,"14 Jul, 2022",5980.66996573146,132
Tsd,-11702077.6298356,4527708.20683661,-11701957.4910826,4527604.887509,158.455682859421,6898.7591299178,49.3044689522866,1.49211653832219E+018,-11702017.5604591,4527656.54717281,4503174.61359003,-11684130.4775134,12549695.204079,4498.26185964295,5230.53704457829,"14 Jul, 2022",8279.87868307902,136
Tsd,-11702156.9214126,4527580.85975839,-11702043.9909847,4527491.95708115,143.72531985004,8026.48204666588,51.7889745873862,-5.47797434822726E+018,-11702100.4561986,4527536.40841977,4503174.61359003,-11684130.4775134,12549776.7405635,4964.85757358542,6306.71097478402,"14 Jul, 2022",9407.6015998271,138
Tsd,-11701217.4363638,4526946.52714236,-11701034.8254592,4526735.08293702,279.383955248302,2605.99146210882,40.8150838728316,1.65203564143645E+018,-11701126.1309115,4526840.80503969,4503174.61359003,-11684130.4775134,12547485.0655377,1972.27429663489,1703.32780151603,"14 Jul, 2022",3987.11101527004,129
Tsd,-11701904.6300312,4527662.55411046,-11701424.0750191,4527109.91584649,732.353856040454,2655.99169863501,41.0090868987303,-7.70810329057683E+018,-11701664.3525251,4527386.23497848,4503174.61359003,-11684130.4775134,12548199.3389227,2004.22600269679,1742.80521956188,"14 Jul, 2022",4037.11125179623,129
Tsd,-11701875.7967305,4527532.80425718,-11701770.0746278,4527393.44330366,174.924664828278,584.220234088651,37.1847064604235,9.01211559765717E+017,-11701822.9356792,4527463.12378042,4503174.61359003,-11684130.4775134,12547441.1142639,465.443160738671,353.094811686881,"14 Jul, 2022",1965.33978724987,111
Tsd,-11702341.9350923,4527893.22051628,-11702192.9630385,4527811.52616422,169.901853939026,12916.9185797865,61.2602047151698,-5.91638950135659E+018,-11702267.4490654,4527852.37334025,4503174.61359003,-11684130.4775134,12549401.4893659,6210.87568810945,11325.7144932973,"14 Jul, 2022",14298.0381329477,3
Tsd,-11699367.2995671,4529676.07961134,-11699593.1604228,4528546.7753328,1151.66891060988,-20138.298356301,-11.3099324737385,9.64387087161965E+017,-11699480.229995,4529111.42747207,4503174.61359003,-11684130.4775134,12525703.73293,-19747.2262095064,3949.44524180031,"14 Jul, 2022",-18757.1788031398,63
Tsd,-11699343.2718165,4529358.91330332,-11699458.6050194,4529128.24689749,257.892881774648,-25316.71169537,-26.5650511741169,-3.55811425860706E+018,-11699400.9384179,4529243.58010041,4503174.61359003,-11684130.4775134,12520314.2631455,-22643.9553276296,11321.977662352,"14 Jul, 2022",-23935.5921422088,183
Tsd,-11702207.3796889,4526528.4442818,-11701380.825068,4526139.19472197,913.623424151178,13426.5279707231,64.78283610381,-1.94248161636505E+018,-11701794.1023785,4526333.81950188,4503174.61359003,-11684130.4775134,12547660.2665614,5720.37665026371,12146.9726404453,"14 Jul, 2022",14807.6475238843,1
Tsd,-11702630.2680995,4526638.97193459,-11702361.1572927,4526514.02763144,296.70137381929,13491.9124587736,65.095231193303,-2.00420509851569E+017,-11702495.7126961,4526576.49978301,4503174.61359003,-11684130.4775134,12548333.5329156,5681.59688178699,12237.2855923231,"14 Jul, 2022",14873.0320119348,1
Tsd,-11703288.6284662,4526864.8327903,-11702803.2679039,4526643.77748472,533.32946999187,13618.7621488781,65.5133190703043,4.73837132917735E+018,-11703045.948185,4526754.30513751,4503174.61359003,-11684130.4775134,12548820.1670265,5644.72769244372,12393.8586302198,"14 Jul, 2022",14999.8817020393,1
