Id,host_rock,p,theta,SDMBearing,SDMAzimuth,longitude,latitude,seg_length,Xstart,Xend,Yend,Ystart
0,basalt,12.8617357959038,36.7115960869707,-36,256,-117.564,45.3646,608.878,456090.6154,455763.4386,5023877.996,5023439.24
0,quartz diorite,-25.9221768084715,-18.8384250563235,18,18,-117.477,45.3299,723.523,462467.98,462698.1679,5020058.872,5019384.183
0,quartz diorite,6.89711007457279,18.5576638844547,-19,161,-117.319,45.1397,500.052,474913.0557,475068.4987,4998312.172,4998775.193
0,quartz diorite,-55.4974540083343,18.6579063424162,-19,161,-117.75,44.3079,439.808,440152.2846,440289.8683,4906162.652,4906570.111
0,quartz diorite,19.120418901041,30.9043641346738,-31,329,-117.263,45.2126,687.53,479530.7269,479193.3825,5006844.039,5006280.475
0,basalt,-30.4761028171408,-15.263851219958,14,14,-117.558,45.3574,548.618,456190.2391,456334.146,5023073.661,5022546.319
0,,-25.4667985576112,-26.579539575005,26,26,-117.448,45.2669,319.731,464811.845,464954.2825,5012833.82,5012549.125
0,quartz diorite,-7.04606670094136,5.97432328646685,-5,355,-117.452,45.2483,274.542,464511.4711,464482.8961,5010766.61,5010493.56
0,quartz diorite,16.121722785869,51.7360029161389,-52,128,-117.417,45.1809,1435.83,466659.2662,467786.3934,5002693.795,5003582.797
0,quartz diorite,16.5880801761263,50.1454428569599,-51,129,-117.339,45.1483,594.533,473105.8156,473562.2228,4999287.626,4999668.627
0,quartz diorite,12.105229503112,36.8699152209612,-38,142,-117.341,45.1457,918.756,472907.3777,473455.0663,4998799.469,4999529.72
0,quartz diorite,10.9326084733565,33.5304639879383,-33,327,-117.34,45.144,396.457,473379.6599,473161.3782,4999160.626,4998831.219
0,quartz diorite,-6.00287226980881,-12.0947570770121,12,192,-117.331,45.1487,113.648,474010.6924,473986.8799,4999462.252,4999573.377
0,quartz diorite,-3.3811097664137,-5.96450332587425,5,5,-117.328,45.1513,267.354,474209.1303,474236.9116,4999938.502,4999672.596
0,quartz diorite,-15.5739045914302,-38.537747516189,38,218,-117.326,45.1557,872.703,474621.8812,474078.1613,4999962.315,5000644.941
0,quartz diorite,11.4671671065771,29.7448590866835,-30,150,-117.326,45.1603,287.974,474324.2243,474467.0996,5000680.66,5000930.692
0,quartz diorite,24.0540612778379,81.0694760306046,-81,279,-117.326,45.1603,281.222,474522.6622,474244.8492,5000831.473,5000787.817
0,quartz diorite,8.11370749548895,20.9426745407795,-20,340,-117.319,45.15,344.208,474990.9757,474867.9442,4999827.377,4999505.908
0,quartz diorite,-6.8447357871292,-13.8075053274954,13,193,-117.334,45.1443,485.259,473760.6607,473645.5667,4998811.375,4999279.689
